sub	task	run	space	den	mean_fd	mean_fd_post_censoring	mean_relative_rms	max_relative_rms	mean_dvars_initial	mean_dvars_final	num_dummy_volumes	num_censored_volumes	num_retained_volumes	fd_dvars_correlation_initial	fd_dvars_correlation_final
pa1372	rest	1	fsLR	91k	0.1523118809177462	0.1523118809177462	0.0888963026894865	0.301342	1.245110251059515	1.2518285167992986	0	0	410	0.2499388532127813	0.082653775403938
pa1372	rest	2	fsLR	91k	0.098428437604878	0.098428437604878	0.0558419352078239	0.204118	1.248755072422712	1.2539879911126983	0	0	410	0.1934777811732413	-0.027859300759403
pa1387	rest	1	fsLR	91k	0.1682872877075608	0.1682872877075608	0.1007754846943765	0.330907	1.2498406643779345	1.2475817222462549	0	0	410	0.3133666594795598	0.026168452888819
pa1387	rest	2	fsLR	91k	0.1388562790553658	0.1388562790553658	0.0785972293643031	0.567888	1.261460341728756	1.246907707066699	0	0	410	0.3538232651437822	-0.066286502247117
pa1393	rest	1	fsLR	91k	0.2037678668585367	0.2037678668585367	0.1171409844743276	1.03921	1.2685720774485856	1.3019037687990085	0	0	410	0.6149062474510868	-0.0965528245965298
pa1393	rest	2	fsLR	91k	0.3386501916682926	0.3386501916682926	0.2076985875305623	2.99944	1.250443301535677	1.2631038975553988	0	0	410	0.8510850420111116	0.3057058729638917
pa1416	rest	1	fsLR	91k	0.1654564824512195	0.1654564824512195	0.0997400853300733	0.218986	1.2408769398169732	1.2281266247674305	0	0	410	0.2622725346765867	0.0327769120533972
pa1416	rest	2	fsLR	91k	0.1171722158292684	0.1171722158292684	0.0653112788753056	0.267439	1.2446212932656553	1.2547417628809587	0	0	410	0.2620182629724718	0.0905965147516525
pa1560	rest	1	fsLR	91k	0.1749530496292683	0.1749530496292683	0.0967174259168704	0.298593	1.2134836014710106	1.1917063313533534	0	0	410	0.2269173074856369	-0.0070837889584876
pa1560	rest	2	fsLR	91k	0.1497524731804876	0.1497524731804876	0.0857060312958435	0.304862	1.2232174919302832	1.2260649485352126	0	0	410	0.2317013601436037	-0.1308134876381762
pa1582	rest	1	fsLR	91k	0.2001121258526828	0.2001121258526828	0.1207171809779951	1.07432	1.2155664640001915	1.232876785524512	0	0	410	0.4658771858320225	-0.0168473410800824
pa1582	rest	2	fsLR	91k	0.1648749178212195	0.1648749178212195	0.0966240633251833	0.355776	1.2117295939641812	1.2094694643288135	0	0	410	0.2932299296601826	-0.1639710492809196
pa1604	rest	1	fsLR	91k	0.1150497095434145	0.1150497095434145	0.0666858855745721	0.185178	1.2643178755241429	1.2168007791022308	0	0	410	0.1876958673441787	0.0535950170015722
pa1604	rest	2	fsLR	91k	0.1310106132317075	0.1310106132317075	0.0773275872860635	0.662113	1.2657712777999517	1.2463287541356192	0	0	410	0.2667877057820065	-0.1106493767530001
pa1674	rest	1	fsLR	91k	0.1114715171487802	0.1114715171487802	0.0648477178484107	0.369492	1.2687875494530032	1.268315201522565	0	0	410	0.273673956828065	-0.1716169916305789
