,label
1,hemi-L_lab-Thalamus
2,hemi-L_lab-Caudate
3,hemi-L_lab-Putamen
4,hemi-L_lab-Pallidum
5,hemi-L_lab-Hippocampus
6,hemi-L_lab-Amygdala
7,hemi-L_lab-Accumbens+area
8,hemi-L_lab-VentralDC
9,hemi-R_lab-Thalamus
10,hemi-R_lab-Caudate
11,hemi-R_lab-Putamen
12,hemi-R_lab-Pallidum
13,hemi-R_lab-Hippocampus
14,hemi-R_lab-Amygdala
15,hemi-R_lab-Accumbens+area
16,hemi-R_lab-VentralDC
