parc,measure,metric,stat,variable,CMRglu,SV2A,HDAC,VMAT2,mGluR5,NMDA,GABAa,GABAa5,NET,A4B2,M1,VAChT,FDOPA,D1,D23,DAT,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,MOR,KOR,CB1
Schaefer100,pearson,original,auc,sac,0.23226991244928466,0.051877001921844974,-0.13680333119795005,0.2304099935938501,0.16461242793081357,0.21920777279521675,0.021787315823190264,0.3049733077087337,0.36806961349562245,0.2424460815716421,-0.004461883408071749,0.37237561392269913,0.2745633141148836,0.18116591928251122,0.3515801836429639,0.29763399530215673,0.3698793508434764,-0.060596839632714075,0.34762011531069825,0.32356395472987404,0.25723040785821055,0.22762011531069826,0.444534486440316,0.35138479607089473,0.4067755712150331
Schaefer100,pearson,original,auc,gc,-0.3712967340033285,-0.4373907781618682,-0.3689184438684711,-0.28669473458432365,-0.22819466958815143,-0.32718118700574966,-0.28108132924918877,-0.2964235694704386,0.4919462447727517,-0.3315325771043407,-0.3231565115115431,0.06250178505248903,-0.27372651371878903,-0.3951068615689349,-0.07555168456911977,-0.004678638550368249,-0.15860232346469125,-0.40891535823071323,-0.394860757920861,-0.29455830668004757,-0.44333089810138754,0.13764080558698596,-0.28342545315090795,-0.0447817885437746,-0.3518182441827801
Schaefer100,pearson,original,poly2,sac,0.3291778774289985,0.06802904121289771,0.162431133888533,0.20513559683963273,0.1453288490284006,0.3096092248558616,-0.004718129404228059,0.21195494341234253,0.3313527653213752,-0.008504163997437541,0.21594063634422378,0.2048270339525945,0.33093102711936795,0.11088831945334188,0.23516335682254966,0.33434550501815075,0.18260089686098654,-0.15464659406363443,0.24187486653854368,0.25846038863976084,0.18986867392696988,0.23075058723040787,0.16762438607730087,0.1589739483237241,0.022837924407431133
Schaefer100,pearson,original,poly2,gc,0.004385556331729252,-0.11348260952128372,0.10050851633442845,-0.18092141526224897,-0.2313646554065091,-0.1935394322381166,0.07894321705548325,-0.034026898968726814,0.2560086525996457,-0.025809386051586416,-0.030863853166475348,-0.19564599405004643,-0.14611456525266317,-0.2200310752576823,-0.05385345728937109,-0.12691207453418463,0.12815914204373052,0.19125563309178212,-0.03369644743259287,-0.16031437205335294,0.12472276637637311,0.19107679421519913,0.07719860377586167,-0.1604302169375873,0.08253067153499884
Schaefer100,pearson,inverted,auc,sac,0.27308349348708094,0.33550288276745677,0.30118940849882553,0.34894725603245785,0.5553224428784966,0.321203288490284,0.35238629083920564,0.42511744608157165,0.04707025411061286,0.45681827888105914,0.33143497757847534,0.49035660901131756,0.31547619047619047,0.3077183429425582,0.42660580824257954,0.08803651505445227,0.5206726457399103,0.3672175955584027,0.3180140935297886,0.43101751014307066,0.34011531069827033,0.12013666453128337,0.5225806107196241,0.6059267563527653,0.48698910954516333
Schaefer100,pearson,inverted,auc,gc,0.25102038256146214,0.4389629587336202,0.32283406768630096,0.4241374827885864,0.00961405769666611,0.3917986092758459,0.4903671241848934,0.30881149822001586,-0.6026336293454128,0.22970652540451872,0.444700750511274,-0.28794180209386955,0.388986835058047,0.4279913271171017,0.017518736041634467,-0.2600237188407822,0.03540796217386176,0.38230787032691316,0.5145157109975256,0.2304891456823416,0.5255957136347794,-0.33162279731372135,0.3707409988674393,-0.198456166725667,0.29869562397413174
Schaefer100,pearson,inverted,poly2,sac,0.24210335255178306,0.18719517403373906,0.1850726030322443,0.330857356395473,0.5343390988682468,0.32144138372837927,0.2436077300875507,0.31008434764040144,0.15639440529575058,0.20356822549647663,0.22762758915225284,0.4430952380952381,0.3450128122998078,0.33477364937006193,0.37118940849882553,-0.011069827033952595,0.40734465086483024,0.1569399957292334,0.19138052530429212,0.2997896647448217,0.248588511637839,0.08489429852658552,0.23885009609224855,0.32729874012385224,0.25895259449071106
Schaefer100,pearson,inverted,poly2,gc,-0.130907388421788,0.4150652801955971,-0.10358401116426318,0.4512574641894601,-0.15130142652096282,0.33866904905109135,-0.004793415739817036,0.12207488330815923,0.14114978449976215,-0.18069025934117303,0.44500344198298314,0.0919103702262323,0.34558984665115683,0.283152123285802,-0.05239071543314003,-0.04348934400584197,0.0015252020011869108,-0.3629633762019538,0.3376910406275091,0.1952509469793855,0.33772146992889784,-0.18869316560641383,-0.19180976668549302,-0.10551440333657394,-0.256621509406563
Schaefer100,pearson,delta,auc,sac,-0.06472240017083067,-0.23149156523595985,-0.2767040358744395,-0.14239483237241085,-0.27313367499466157,-0.1718780696134956,-0.21670403587443945,-0.1496604740550929,0.31890881913303437,-0.1439782190903267,-0.26961990177236816,0.0890422805893658,-0.03224855861627162,-0.14540896471518902,-0.026525731368780697,0.19502455690796497,-0.10765428144351911,-0.29794896433909884,-0.09613922699124493,-0.11902092675635277,-0.1553160367285928,0.08092355327781336,-0.09411701900491139,-0.16661007900918215,-0.1387241084774717
Schaefer100,pearson,delta,auc,gc,-0.43356736313474165,-0.5285735143917345,-0.4025017156537935,-0.4988205976496448,-0.1543165965954128,-0.5040138650866579,-0.46745652947612987,-0.4041966811258861,0.6144343259629265,-0.3681000558153316,-0.4740073708329953,0.1791842758461264,-0.4817962042937293,-0.5231780584410858,-0.12160883453425787,0.11569754235394893,-0.13958881472325863,-0.48704072108044977,-0.5971654305011155,-0.35545427877503916,-0.6168708054635975,0.2718772663501816,-0.44591471948246725,0.09188741478834254,-0.4404353098429214
Schaefer100,pearson,delta,poly2,sac,0.15443092035020287,-0.12534486440316037,0.006018577834721333,-0.18529681827888106,-0.44546337817638265,-0.1880226350629938,-0.18456865257313687,-0.17402199444800343,0.29088084561178734,-0.12590433482810165,-0.11905188981422166,-0.14657698056801197,-0.04324257954302797,-0.25762438607730087,-0.1905477258167841,0.30198910954516334,-0.2988020499679693,-0.1933621610079009,-0.08672538970745249,-0.07058616271620756,-0.1504537689515268,0.047028614136237455,-0.11676809737347854,-0.2295024556907965,-0.21250587230407858
Schaefer100,pearson,delta,poly2,gc,0.0699233315069869,-0.3801842253984142,0.14878059913223177,-0.4926103509293763,0.03968568133224843,-0.39060973113211356,0.00284967738268664,-0.1497399228970665,0.2143434651349503,0.08881031841632947,-0.43137325035039503,-0.22607209235443804,-0.4635487665609433,-0.33850836098586307,-0.022978393327647256,-0.06520732363912371,0.03289781173298642,0.35846998269688196,-0.30560894771069824,-0.2562643655007898,-0.26585226467520945,0.2348586865922873,0.17836108316645183,-0.013400103406297742,0.24977705198366576
Schaefer100Subcortical,pearson,original,auc,sac,0.227060644885757,0.1725400384368994,-0.17543882126841767,0.5076532137518684,0.24174674354046552,0.41856929318812724,0.08084347640401451,0.3593529788597053,0.3367947896647448,0.472752509075379,0.29256139226991246,0.5577567798419817,0.5344063634422379,0.46008007687379887,0.5007388426222507,0.5626243860773009,0.33100896860986545,0.07929532351057014,0.4399060431347427,0.4397736493700619,0.4615342729019859,0.44821268417680976,0.5233653640828528,0.31419389280375826,0.45502242152466366
Schaefer100Subcortical,pearson,original,auc,gc,-0.33017268647240333,-0.3064148505850844,-0.1713833468810991,-0.20663012477527135,-0.003913639415094157,-0.2971098805939384,-0.07565319634855248,-0.17268646975822977,0.32528637606913546,-0.18145919333049035,-0.22588548694455673,-0.005874996830324812,-0.1894071218002655,-0.22508418115243337,-0.16235597783059547,-0.11771294194364296,-0.03432962709412698,-0.19508406103640127,-0.2510158459441669,-0.290759759076745,-0.32115225744541576,-0.06410019258616637,-0.24102755056067057,0.11433581973113639,-0.2812332421810479
Schaefer100Subcortical,pearson,original,poly2,sac,0.1467734358317318,0.28559790732436474,0.020367285927824046,0.432893444373265,0.14708199871877,0.4188362161007901,0.006052743967542174,0.1272143924834508,0.3796497971385864,0.18721866325005337,0.4461189408498826,0.28555306427503735,0.44221332479180014,0.4440113175314969,0.3970713218022635,0.5299743754003844,0.17284433055733503,0.019323083493487082,0.320998291693359,0.5287251761691224,0.5129970104633782,0.3942333973948324,-0.13033205210335255,0.09296070894725603,0.26286461669869743
Schaefer100Subcortical,pearson,original,poly2,gc,-0.05443754445996199,-0.15397189557523416,0.012378866560797069,0.08547279577581234,-0.17424957659323123,-0.017676239895400712,0.052401448329943014,0.06859038780105614,-0.2005549349589064,0.1192925980654904,0.05488971368443134,0.030614045273221868,0.10656459493703932,0.07919848066933277,0.08093348654834737,-0.07289907470860285,0.07157192867314738,0.14181671131083928,-0.044829882673923314,0.03711791500369412,0.12071957366998456,-0.07576423672480942,0.25602654292276106,-0.05533707827723571,0.0789032627459189
Schaefer100Subcortical,pearson,inverted,auc,sac,0.20429745889387144,0.31250373692077726,0.2314467221866325,0.20596519325218876,0.38416613282084133,0.18543988896006833,0.5105744181080504,0.33473200939568654,0.07604527012598762,0.35740978005552,0.3197853939782191,0.49773008755071535,0.18810484732009394,0.18075272261370917,0.377706598334401,0.0671898355754858,0.3343487080931027,0.21080076873798848,0.4132094811018578,0.35216741405082214,0.26347960708947255,0.11924087123638694,0.43126841768097374,0.39860773008755074,0.38810057655349134
Schaefer100Subcortical,pearson,inverted,auc,gc,0.10095278515236195,0.12259604925913418,0.05250287944287002,0.3917579213059427,-0.1448799309212349,0.3516776839568172,0.06566917174875833,0.037330386492878065,-0.568699159327479,0.23439662501505817,0.2569976123670465,-0.14924680725672396,0.38185344005260186,0.3402052912368099,0.09575951217049918,-0.07431964413754373,-0.06990899226910724,0.1610774119597524,0.2407243249178151,0.18870778096903193,0.4444049396987616,-0.22097034875129906,0.29818505039096466,-0.22427006300920344,0.24317201782713263
Schaefer100Subcortical,pearson,inverted,poly2,sac,0.2737123638693145,0.11034593209481101,0.22823403800982275,0.21168908819133034,0.3252957505872304,0.240045910740978,0.38935831731795856,0.28845718556480887,0.04687486653854367,0.19361520392910528,0.1940860559470425,0.437127909459748,0.22423766816143498,0.13927396967755712,0.2881603672859278,0.011456331411488363,0.07455584027332907,-0.011805466581251334,0.25868994234465087,0.17148302370275464,-0.0349583600256246,0.1011157377749306,0.27852124706384795,-0.10051996583386717,0.06035554131966688
Schaefer100Subcortical,pearson,inverted,poly2,gc,-0.2025349770528341,-0.04976317169791528,-0.17532528023822028,0.32583997640653184,-0.011410466356325536,0.10073283979169917,-0.14673985722353855,-0.1426719357472028,0.062286711056624026,-0.1794775496926743,-0.028323303664959828,0.1021827708585926,0.26007791511225087,0.2281367238035735,-0.07257342745131089,-0.1699125957436575,0.058691778875305786,-0.23142843034203628,-0.29154238019017126,-0.06999280639926271,-0.18162148311117354,-0.22836093994793846,-0.09927650254925247,0.14261961864685097,-0.25475918785913626
Schaefer100Subcortical,pearson,delta,auc,sac,-0.010089686098654708,-0.10921631432842195,-0.26313794576126415,0.049978646166986974,0.014126628229767244,0.11434977578475336,-0.22625240230621396,0.033613068545803974,0.2851783045056588,0.05735746316463805,-0.053931240657698054,0.1431326073030109,0.15952274183215887,0.10805680119581465,0.010554131966688021,0.40213858637625455,0.11282938287422592,-0.1354452274183216,0.13130685458039718,-0.043086696562032886,0.08031176596199018,0.21823617339312407,-0.07683642963912023,0.08014947683109118,0.04131859918855434
Schaefer100Subcortical,pearson,delta,auc,gc,-0.28563321709022893,-0.2964142766984442,-0.14067961515013125,-0.4523715528472339,0.06589872637275103,-0.446933243650458,-0.09774756198386853,-0.15155036121609256,0.524302761199328,-0.327127617692742,-0.35552085544082523,0.06560777923303936,-0.4368856911430937,-0.4080669765686799,-0.22043062846093484,-0.051867600367169295,-0.003169455354987588,-0.25042861318511583,-0.36334119424749745,-0.33905805196480915,-0.5465369950008907,0.08086515400911233,-0.385835412006931,0.20687943177388668,-0.34442589323049894
Schaefer100Subcortical,pearson,delta,poly2,sac,-0.09368994234465086,0.14753897074524877,-0.14407004057228273,0.022384155455904334,-0.15665171898355754,0.09221652786675208,-0.24296925048046125,-0.17505979073243647,0.2978742259235533,0.03894405295750587,0.20077941490497545,-0.11269698910954516,0.1393796711509716,0.172522955370489,0.02587657484518471,0.38605915011744607,0.07173286354900704,0.05726457399103139,0.09536194746957079,0.17088191330343797,0.3993711296177664,0.19047298740123852,-0.3016837497330771,0.1114093529788597,0.08431988041853512
Schaefer100Subcortical,pearson,delta,poly2,gc,0.11927017645105391,-0.06308161067319411,0.11208778595989624,-0.2963219210008844,-0.12921736554141666,-0.0822270001621481,0.10915482525241742,0.1384299798350028,-0.2071201972050976,0.2040185405413823,0.045562855926811634,-0.03554306351351164,-0.16704743372745093,-0.15730844534256994,0.07829894685205906,0.07487591371475394,-0.008458287122186853,0.2835090360463523,0.1440935728720692,0.07338701174657804,0.18364476689008596,0.13195173480674366,0.18520733987712465,-0.1423361453786181,0.24763018216425597
Schaefer200,pearson,original,auc,sac,0.04752188767883835,0.031946401879137304,-0.1431699765107837,0.21262652146060218,0.27732222934016654,0.0998398462524023,-0.09286354900704677,0.3574514200298954,0.514699978646167,0.2597501601537476,-0.008978219090326714,0.5178336536408286,0.29484945547725816,0.15999893230834936,0.36480247704462954,0.3299145846679479,0.37586696562032884,-0.10432415118513773,0.3640625667307282,0.3075250907537903,0.22501601537475976,0.3060719624172539,0.479699978646167,0.5173777493060004,0.42301089045483664
Schaefer200,pearson,original,auc,gc,-0.5128501345764643,-0.4634712806899058,-0.5233706876116486,-0.27879011771985607,-0.12903759655150315,-0.3799917840759677,-0.5235618053863782,-0.2960643885430404,0.5654016502932405,-0.2693169755059551,-0.5138874022756251,0.17647964796119314,-0.29305188127265197,-0.3751556502176567,-0.12571599098064423,0.013463659996313422,-0.1667577323310241,-0.4710070865784054,-0.36982357107240776,-0.3001712853055955,-0.5062266758304588,0.19133718647655393,-0.26876284072894585,0.049232045540048376,-0.3742993571711029
