,,,,,,"ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,1)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(2,k)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,1)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)","ICC(3,k)",CV,CV
,,,,,,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,ICC,F,df1,df2,pval,CI95%,WCV,pval
parc,measure,connections,metric,stat,map,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaefer100,pearson,all,original,auc,Auditory,0.609600488069513,4.099731974455941,111,111,4.69529229600414e-13,[0.48 0.71],0.7574556451590571,4.099731974455941,111,111,4.69529229600414e-13,[0.65 0.83],0.6078225267488949,4.099731974455941,111,111,4.69529229600414e-13,[0.48 0.71],0.7560816155225109,4.099731974455941,111,111,4.69529229600414e-13,[0.65 0.83],0.13431364169346893,0.001
Schaefer100,pearson,all,original,auc,Cingulo-Opercular,0.5663017012457677,3.6615378751047856,111,111,2.0135453056615178e-11,[0.43 0.68],0.7231067945535092,3.6615378751047856,111,111,2.0135453056615178e-11,[0.6  0.81],0.5709570417348496,3.6615378751047856,111,111,2.0135453056615178e-11,[0.43 0.68],0.7268907125612125,3.6615378751047856,111,111,2.0135453056615178e-11,[0.6  0.81],0.11101616658291853,0.001
Schaefer100,pearson,all,original,auc,Dorsal Attention,0.4877618181855071,3.003357687076742,111,111,8.308287652961013e-09,[0.33 0.62],0.6556987983202681,3.003357687076742,111,111,8.308287652961013e-09,[0.5  0.76],0.5004193588656318,3.003357687076742,111,111,8.308287652961013e-09,[0.35 0.63],0.6670393259174767,3.003357687076742,111,111,8.308287652961013e-09,[0.52 0.77],0.1318875326026161,0.001
Schaefer100,pearson,all,original,auc,Default Mode,0.5605352771086987,3.7774174848593787,111,111,7.307973519108357e-12,[0.41 0.68],0.7183884726364372,3.7774174848593787,111,111,7.307973519108357e-12,[0.58 0.81],0.5813637794188152,3.7774174848593787,111,111,7.307973519108357e-12,[0.44 0.69],0.7352688698010761,3.7774174848593787,111,111,7.307973519108357e-12,[0.62 0.82],0.1282010056555467,0.001
Schaefer100,pearson,all,original,auc,Frontoparietal,0.4892615566603203,2.9500248396763027,111,111,1.379400271114464e-08,[0.34 0.62],0.657052556647595,2.9500248396763027,111,111,1.379400271114464e-08,[0.5  0.76],0.49367407011954473,2.9500248396763027,111,111,1.379400271114464e-08,[0.34 0.62],0.6610198034435103,2.9500248396763027,111,111,1.379400271114464e-08,[0.51 0.77],0.17085291316350748,0.001
Schaefer100,pearson,all,original,auc,Medial Parietal,0.5856242143255164,3.8610252974420978,111,111,3.548395453978745e-12,[0.45 0.69],0.7386670927885971,3.8610252974420978,111,111,3.548395453978745e-12,[0.62 0.82],0.5885641654544748,3.8610252974420978,111,111,3.548395453978745e-12,[0.45 0.7 ],0.7410014379697297,3.8610252974420978,111,111,3.548395453978745e-12,[0.62 0.82],0.16508248841582085,0.001
Schaefer100,pearson,all,original,auc,Occipital Parietal,0.5235020355614676,3.3176166151167643,111,111,4.4312950053036427e-10,[0.37 0.65],0.6872350982695439,3.3176166151167643,111,111,4.4312950053036427e-10,[0.54 0.79],0.536781474993024,3.3176166151167643,111,111,4.4312950053036427e-10,[0.39 0.66],0.6985787943539086,3.3176166151167643,111,111,4.4312950053036427e-10,[0.56 0.79],0.17589848127180813,0.001
Schaefer100,pearson,all,original,auc,Dorsal Somatomotor,0.6062215931559674,4.13113119573318,111,111,3.6143300303380493e-13,[0.48 0.71],0.7548417923642021,4.13113119573318,111,111,3.6143300303380493e-13,[0.64 0.83],0.6102224005375051,4.13113119573318,111,111,3.6143300303380493e-13,[0.48 0.71],0.7579355501871144,4.13113119573318,111,111,3.6143300303380493e-13,[0.65 0.83],0.15023698777546182,0.001
Schaefer100,pearson,all,original,auc,Lateral Somatomotor,0.5905211844651539,3.9125764290025753,111,111,2.2811708197269693e-12,[0.46 0.7 ],0.7425505428445194,3.9125764290025753,111,111,2.2811708197269693e-12,[0.63 0.82],0.5928816520405628,3.9125764290025753,111,111,2.2811708197269693e-12,[0.46 0.7 ],0.7444139384505447,3.9125764290025753,111,111,2.2811708197269693e-12,[0.63 0.82],0.13739179103223237,0.001
Schaefer100,pearson,all,original,auc,Salience,0.6671357248701557,4.978571896886512,111,111,4.474640003979229e-16,[0.55 0.76],0.8003376268865157,4.978571896886512,111,111,4.474640003979229e-16,[0.71 0.86],0.6654719497407819,4.978571896886512,111,111,4.474640003979229e-16,[0.55 0.76],0.7991391867564718,4.978571896886512,111,111,4.474640003979229e-16,[0.71 0.86],0.18261039700944046,0.001
Schaefer100,pearson,all,original,auc,Ventral Attention,0.6158932151092485,4.187111800587363,111,111,2.2725772416463256e-13,[0.49 0.72],0.7622944503391689,4.187111800587363,111,111,2.2725772416463256e-13,[0.65 0.84],0.6144289776492711,4.187111800587363,111,111,2.2725772416463256e-13,[0.48 0.72],0.761171889449018,4.187111800587363,111,111,2.2725772416463256e-13,[0.65 0.84],0.24251189326264364,0.001
