,morans_i
5HT1a,0.10106082303380531
5HT1b,0.047433912806621625
5HT2a,0.040975531199986495
5HT4,0.03922847544721175
5HT6,0.038195912736524965
5HTT,0.07724227531765245
A4B2,0.02846427291129494
CB1,0.08641290164526134
CMRglu,0.04968477038129642
D1,0.06097576732948774
D23,0.053606381677337604
DAT,0.07138176029687882
FDOPA,0.07077949416138404
GABAa5,0.10141869392348155
GABAa,0.049751239389353705
HDAC,0.04241508720061555
KOR,0.09570306498466932
M1,0.037648789586460965
mGluR5,0.04617077707774383
MOR,0.12951549502799412
NET,0.026107731440092947
NMDA,0.05833927349222718
SV2A,0.05198679715709977
VAChT,0.03628014636833118
VMAT2,0.027184943719290325
