,morans_i
5HT1a,0.039447367386961335
5HT1b,0.024282195509435493
5HT2a,0.07373165844414761
5HT4,0.037245126780613015
5HT6,0.008592963394328901
5HTT,0.10252354881035661
A4B2,0.024250461610872
CB1,0.06631412090422603
CMRglu,0.031987432646967004
D1,0.059548250880057225
D23,0.08498372273354914
DAT,0.09695514529943661
FDOPA,0.09466688550752184
GABAa5,0.02454659358098592
GABAa,0.0939336295918417
HDAC,0.0402667574107789
KOR,0.07179300672807679
M1,0.006494454070188281
mGluR5,0.03400720890158785
MOR,0.10728501929564517
NET,0.015450446006902624
NMDA,0.03879048436346246
SV2A,0.023560921641948555
VAChT,0.06416498375979163
VMAT2,0.061524195938393436
