,morans_i
5HT1a,0.10662835208562782
5HT1b,0.021497407519501313
5HT2a,0.022843757702577322
5HT4,0.04380751055566077
5HT6,0.027849227371207794
5HTT,0.04403972602666876
A4B2,0.05107517165290315
CB1,0.09939911387950437
CMRglu,0.03518153799071399
D1,0.05402669128160312
D23,0.08722932171244246
DAT,0.04340506689118099
FDOPA,0.08625006077522071
GABAa5,0.10885219217652274
GABAa,0.06841254377848548
HDAC,0.03165728439271234
KOR,0.12761141433184234
M1,0.03232386664157493
mGluR5,0.027716498801344972
MOR,0.13005246768941547
NET,0.02981006796547206
NMDA,0.039040113791473346
SV2A,0.030122636440648914
VAChT,0.06687039369784066
VMAT2,0.031908554932622124
