,morans_i
5HT1a,0.13284505806605065
5HT1b,0.05011966130251882
5HT2a,0.05140618995348363
5HT4,0.07826887306196048
5HT6,0.05660027255171202
5HTT,0.07441752390778496
A4B2,0.05741379149868295
CB1,0.09301824414542276
CMRglu,0.05192982382881625
D1,0.09251517679186509
D23,0.12147348889065886
DAT,0.07855987591718003
FDOPA,0.1157776980011401
GABAa5,0.14148582212867372
GABAa,0.07763853907752483
HDAC,0.04281965328899833
KOR,0.10934681602970948
M1,0.0670185203177018
mGluR5,0.05549299400401385
MOR,0.14636057907139974
NET,0.05021342522167028
NMDA,0.0625116435732444
SV2A,0.0645628801571527
VAChT,0.08640268073089026
VMAT2,0.059625014775878504
