A,B,sub,rho,p
mri_original,meg-delta_original,sub-512835,0.5446153846153846,0.004879812185468513
mri_original,meg-delta_original,sub-568963,0.33076923076923076,0.10630845408160397
mri_original,meg-delta_original,sub-599671,0.3638461538461538,0.07378412709009198
mri_original,meg-delta_original,sub-725751,-0.10615384615384615,0.6135400689983799
mri_original,meg-delta_original,sub-783462,0.11923076923076922,0.5702629145851892
mri_original,meg-delta_original,sub-825048,-0.31999999999999995,0.11889805291882277
mri_original,meg-delta_original,sub-891667,0.2792307692307692,0.17645690072440764
mri_inverted,meg-delta_inverted,sub-102816,0.20461538461538462,0.3265277832159157
mri_inverted,meg-delta_inverted,sub-106521,0.17153846153846153,0.4122815839225631
mri_inverted,meg-delta_inverted,sub-113922,0.3776923076923077,0.06268687606793104
mri_inverted,meg-delta_inverted,sub-153732,0.3738461538461539,0.06563115158714224
mri_inverted,meg-delta_inverted,sub-162935,0.11307692307692309,0.5904595228666748
mri_inverted,meg-delta_inverted,sub-164636,0.33153846153846156,0.1054485223918959
mri_inverted,meg-delta_inverted,sub-172029,0.63,0.0007379916732732262
mri_inverted,meg-delta_inverted,sub-175540,0.81,9.292598628661131e-07
mri_inverted,meg-delta_inverted,sub-177746,0.35,0.08631994521775348
mri_inverted,meg-delta_inverted,sub-179245,0.016923076923076923,0.9360075092301826
mri_inverted,meg-delta_inverted,sub-181232,-0.05384615384615384,0.7982347221477955
mri_inverted,meg-delta_inverted,sub-187547,0.36153846153846153,0.07577072639956048
mri_inverted,meg-delta_inverted,sub-189349,-0.03230769230769231,0.8781554683498889
mri_inverted,meg-delta_inverted,sub-195041,0.16846153846153847,0.4208415376807141
mri_inverted,meg-delta_inverted,sub-198653,0.7784615384615384,4.598407284003503e-06
mri_inverted,meg-delta_inverted,sub-212318,0.43999999999999995,0.02773337204061013
mri_inverted,meg-delta_inverted,sub-212823,0.14307692307692307,0.4950600560452396
mri_inverted,meg-delta_inverted,sub-255639,0.6323076923076923,0.0006958827969825711
mri_inverted,meg-delta_inverted,sub-257845,0.18615384615384614,0.3729608729013305
mri_inverted,meg-delta_inverted,sub-287248,-0.29923076923076924,0.14619758715586154
mri_inverted,meg-delta_inverted,sub-353740,0.7976923076923076,1.7924006616035844e-06
mri_inverted,meg-delta_inverted,sub-406836,0.3384615384615385,0.0979393279366574
mri_inverted,meg-delta_inverted,sub-512835,0.5453846153846154,0.004807865215026952
mri_inverted,meg-delta_inverted,sub-568963,0.6923076923076923,0.00012578593977249946
mri_inverted,meg-delta_inverted,sub-599671,0.5184615384615384,0.007926880008502576
mri_inverted,meg-delta_inverted,sub-725751,0.3923076923076923,0.05241792334601506
mri_inverted,meg-delta_inverted,sub-783462,0.47846153846153844,0.015545373390900938
mri_inverted,meg-delta_inverted,sub-825048,0.30923076923076925,0.13254450890376443
mri_inverted,meg-delta_inverted,sub-891667,0.5653846153846154,0.0032270215142025612
mri_original,meg-delta_inverted,sub-102816,0.07153846153846154,0.7339954015507332
mri_original,meg-delta_inverted,sub-106521,0.09,0.6687736167185602
mri_original,meg-delta_inverted,sub-113922,-0.15076923076923077,0.4719066833093053
mri_original,meg-delta_inverted,sub-153732,0.05384615384615384,0.7982347221477955
mri_original,meg-delta_inverted,sub-162935,0.28076923076923077,0.17398592766784643
mri_original,meg-delta_inverted,sub-164636,0.12153846153846154,0.5627693094732826
mri_original,meg-delta_inverted,sub-172029,-0.09461538461538462,0.6528051126847747
mri_original,meg-delta_inverted,sub-175540,-0.46076923076923076,0.02044744795526081
mri_original,meg-delta_inverted,sub-177746,0.2530769230769231,0.2222401375819646
mri_original,meg-delta_inverted,sub-179245,0.16307692307692304,0.43605302334597895
mri_original,meg-delta_inverted,sub-181232,0.16999999999999998,0.4165494576141051
mri_original,meg-delta_inverted,sub-187547,-0.2069230769230769,0.32098182056645524
mri_original,meg-delta_inverted,sub-189349,0.06769230769230769,0.7478295709921495
mri_original,meg-delta_inverted,sub-195041,-0.27384615384615385,0.18529715169369645
mri_original,meg-delta_inverted,sub-198653,-0.5069230769230769,0.009704932351348812
mri_original,meg-delta_inverted,sub-212318,-0.23307692307692307,0.2621810889919956
