parc	dv	n	df_model	df_resid	F	p	np2	beta	covariates	posthoc
Schaefer200	mean_fd	151	1.0	146.0	2.1661837701172346	0.1432281982298892	0.014619960607732947	0.25275632944348714	site	
Schaefer200	gc	151	1.0	146.0	4.159472132133697	0.04320572405979316	0.02770036463949171	-0.35036326808300194	site	
Schaefer200	sa_lambda	151	1.0	146.0	0.46290851970619784	0.4973453026375091	0.0031605853276081477	-0.11794071129451641	site	
Schaefer200Subcortical	mean_fd	151	1.0	146.0	2.1661837701172346	0.1432281982298892	0.014619960607732947	0.25275632944348714	site	
Schaefer200Subcortical	gc	151	1.0	146.0	2.5113536766864417	0.11519244773272282	0.01691017969005745	-0.2731773079360796	site	
Schaefer200Subcortical	sa_lambda	151	1.0	146.0	2.2205583007366183	0.13834100585033962	0.014981446070599386	-0.25672722338590165	site	
