parc	metric	sample	between	dv	n	df_model	df_resid	F	p	pmeff	beta	np2	posthoc	covariates
Schaefer200	original	all	dx	CMRglu	151	1.0	143.0	1.11071755965675	0.29370348579390326	0.9734962132079036	0.19828582658593885	0.0077073903902876075		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	SV2A	151	1.0	143.0	0.2845933149930737	0.5945344796791987	0.9999193256909944	-0.1027362340786345	0.0019862101598559956		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	HDAC	151	1.0	143.0	1.8415417017256401	0.17690849029546116	0.8690176190569419	0.25005870863013846	0.012714181857563726		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	VMAT2	151	1.0	143.0	4.134954016464062	0.04385578733906928	0.37389205849122076	-0.38948261096890263	0.028103138673638145	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	mGluR5	151	1.0	143.0	2.350594711829289	0.12744464206517783	0.759102142523984	-0.29394711208874214	0.016171896073005794		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	NMDA	151	1.0	143.0	0.912493250631085	0.3410657928292675	0.9871598328990998	-0.17775729782457178	0.006340611784426045		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	GABAa	151	1.0	143.0	1.8085085088176787	0.18081632623068636	0.8753668601806978	-0.2452169944047341	0.01248896578965562		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	GABAa5	151	1.0	143.0	9.041632799025269	0.0031184272942753914	0.03208370646696901	-0.569490196453542	0.05946813798676355	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	NET	151	1.0	143.0	0.9179087083263627	0.3396416839009553	0.9868671215948475	-0.17391685436328067	0.006378001991306431		sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	A4B2	151	1.0	143.0	5.431769096068466	0.021171759133482487	0.2002236358276508	-0.4564415875718121	0.03659438359555561	CTRL > PSY	sex, age, mean_fd, gc, apd_chlor_equiv
Schaefer200	original	all	dx	M1	151	1.0	143.0	0.6362055125746222	0.42641067037771485	0.9969827724494983	-0.14843882235903458	0.004429283761042585		sex, age, mean_fd, gc, apd_chlor_equiv
